A_MARITL,A_SEX,PEAFEVER,PARENT,PENATVTY,PEFNTVTY,PEHSPNON,PEINUSYR,PEPAR1TYP,PRCITSHP,PRDTRACE,ERN_SRCE,WSAL_VAL,ANN_VAL,A_HGA
4,2,2,0,57,57,2,0,-1,1,1,0,0,0,39
4,1,2,0,57,57,2,0,-1,1,1,0,0,0,33
5,2,2,0,110,110,2,5,-1,4,1,1,17000,0,41
7,1,2,0,57,57,2,0,-1,1,1,2,0,0,41
5,2,2,0,57,57,2,0,-1,1,1,0,0,0,39
7,1,2,0,57,57,2,0,-1,1,1,1,49000,0,36
5,2,2,0,57,57,2,0,-1,1,1,0,0,7900,43
1,1,2,0,57,57,2,0,-1,1,1,1,30000,0,39
1,2,2,0,57,57,2,0,-1,1,1,1,30000,0,44
5,1,1,0,57,57,2,0,-1,1,1,0,0,0,39
5,1,1,0,57,57,2,0,-1,1,1,0,0,0,40
7,1,2,0,57,57,2,0,-1,1,1,0,0,20400,43
7,2,2,0,57,301,2,0,-1,1,1,0,0,0,43
7,1,2,0,57,57,2,0,-1,1,1,0,0,25000,43
1,2,2,0,57,57,2,0,-1,1,1,1,62585,0,43
1,1,2,0,57,57,2,0,-1,1,1,2,0,0,39
7,2,-1,1,57,57,2,0,1,1,1,0,0,0,35
7,2,-1,1,57,57,2,0,1,1,1,0,0,0,0
1,2,2,0,57,57,2,0,-1,1,1,1,42600,0,43
1,1,1,0,57,57,2,0,-1,1,1,1,5000,0,40
4,1,1,0,57,157,2,0,-1,1,1,0,0,0,39
7,1,2,0,57,57,2,0,-1,1,1,0,0,0,37
7,2,-1,1,57,57,2,0,1,1,1,0,0,0,0
7,2,-1,1,57,57,2,0,1,1,1,0,0,0,0
7,2,-1,1,57,57,2,0,1,1,1,0,0,0,0
7,2,2,0,57,57,2,0,-1,1,1,1,4000,0,39
6,2,2,0,57,57,2,0,-1,1,1,0,0,0,40
1,2,2,0,57,57,2,0,-1,1,1,1,100000,0,43
1,1,2,0,57,57,2,0,-1,1,1,1,60000,0,44
1,1,1,0,57,57,2,0,-1,1,1,0,0,0,40
1,2,2,0,57,57,2,0,-1,1,1,0,0,0,43
1,2,2,0,57,57,2,0,-1,1,1,0,0,0,39
1,1,2,0,57,57,2,0,-1,1,1,0,0,0,41
7,1,2,0,57,57,2,0,1,1,1,0,0,0,39
7,1,2,0,57,57,2,0,1,1,1,1,48000,0,39
7,2,2,0,57,57,2,0,-1,1,1,0,0,0,40
1,2,2,0,57,57,2,0,-1,1,1,1,48500,0,43
1,1,2,0,57,57,2,0,-1,1,1,2,20000,0,39
7,1,2,0,57,57,2,0,2,1,1,1,41000,0,40
7,1,-1,1,57,57,2,0,1,1,2,0,0,0,0
7,2,-1,1,57,57,2,0,1,1,1,0,0,0,0
1,1,2,0,57,57,2,0,-1,1,1,2,0,0,43
1,2,2,0,57,57,2,0,-1,1,1,1,265000,0,45
1,1,2,0,57,57,2,0,-1,1,1,0,0,0,39
1,2,2,0,57,57,2,0,-1,1,1,1,45000,0,39
4,2,2,0,57,57,2,0,-1,1,1,0,0,0,41
7,1,2,0,57,57,2,0,1,1,1,0,0,0,40
4,2,2,0,57,57,2,0,-1,1,1,0,0,3192,39
1,1,2,0,57,57,2,0,-1,1,1,1,100000,0,39
1,2,2,0,57,57,2,0,-1,1,1,1,12900,0,40
7,2,2,0,57,57,2,0,1,1,1,0,0,0,39
4,1,2,0,57,57,2,0,-1,1,1,0,0,0,39
1,1,2,0,57,57,2,0,-1,1,1,2,0,0,40
1,2,2,0,57,57,2,0,-1,1,1,1,13500,0,44
1,1,2,0,57,57,2,0,-1,1,1,1,50000,0,39
1,2,2,0,57,57,2,0,-1,1,1,1,25000,0,43
